Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Age,Region,Sex,Grade,Nodal Status,Incidence,Population,Incidence Rate,Incidence Rate LCI (95%),Incidence Rate UCI (95%),CT count,CT cohort,CT percentage,CT percentage LCI (95%),CT percentage UCI (95%),RT count,RT cohort,RT percentage,RT percentage LCI (95%),RT percentage UCI (95%),Surgery count,Surgery cohort,Surgery percentage,Surgery percentage LCI (95%),Surgery percentage UCI (95%),CT only count,CT only cohort,CT only percentage,CT only percentage LCI (95%),CT only percentage UCI (95%),RT only count,RT only cohort,RT only percentage,RT only percentage LCI (95%),RT only percentage UCI (95%),Surgery only count,Surgery only cohort,Surgery only percentage,Surgery only percentage LCI (95%),Surgery only percentage UCI (95%),CT and RT count,CT and RT cohort,CT and RT percentage,CT and RT percentage LCI (95%),CT and RT percentage UCI (95%),Surgery and CT count,Surgery and CT cohort,Surgery and CT percentage,Surgery and CT percentage LCI (95%),Surgery and CT percentage UCI (95%),Surgery and RT count,Surgery and RT cohort,Surgery and RT percentage,Surgery and RT percentage LCI (95%),Surgery and RT percentage UCI (95%),Surgery and CT and RT count,Surgery and CT and RT cohort,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI (95%),Surgery and CT and RT percentage UCI (95%),Other care count,Other care cohort,Other care percentage,Other care percentage LCI (95%),Other care percentage UCI (95%),Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Crude survival 03m,Crude survival 03m LCI,Crude survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Crude survival 06m,Crude survival 06m LCI,Crude survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Crude survival 09m,Crude survival 09m LCI,Crude survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Crude survival 12m,Crude survival 12m LCI,Crude survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Crude survival 24m,Crude survival 24m LCI,Crude survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Crude survival 36m,Crude survival 36m LCI,Crude survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Crude survival 48m,Crude survival 48m LCI,Crude survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Crude survival 60m,Crude survival 60m LCI,Crude survival 60m UCI,Routes Population,Screening,Screening percentage,Screening LCI,Screening UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait LCI,Two Week Wait UCI,GP Referral,GP Referral percentage,GP Referral LCI,GP Referral UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient LCI,Other Outpatient UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective LCI,Inpatient Elective UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation LCI,Emergency Presentation UCI,DCO,DCO percentage,DCO LCI,DCO UCI,Unknown Route,Unknown Route percentage,Unknown Route LCI,Unknown Route UCI,Route not classified,Route not classified percentage,Route not classified LCI,Route not classified UCI
Sarcoma,2013,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,4457,53865817,8.274,8.033,8.521,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,4457,10,0.224,0.122,0.413,744,16.693,15.627,17.816,1634,36.661,35.259,38.087,769,17.254,16.173,18.391,74,1.66,1.325,2.079,714,16.02,14.972,17.126,3,0.067,0.023,0.198,184,4.128,3.583,4.753,325,7.292,6.565,8.093
Sarcoma,2013,Bone sarcoma,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,597,53865817,1.108,1.021,1.201,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,597,0,0,0,0.639,58,9.715,7.591,12.355,222,37.186,33.403,41.133,166,27.806,24.362,31.533,14,2.345,1.402,3.898,113,18.928,15.988,22.265,2,0.335,0.092,1.213,20,3.35,2.179,5.118,2,0.335,0.092,1.213
Sarcoma,2013,Soft tissue sarcoma,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,3860,53865817,7.166,6.942,7.396,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,3860,10,0.259,0.141,0.476,686,17.772,16.598,19.01,1412,36.58,35.075,38.112,603,15.622,14.511,16.801,60,1.554,1.21,1.996,601,15.57,14.46,16.748,1,0.026,0.005,0.147,164,4.249,3.657,4.932,323,8.368,7.535,9.283
Sarcoma,2014,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,4474,54316618,8.237,7.997,8.482,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,4474,6,0.134,0.061,0.292,784,17.523,16.437,18.665,1591,35.561,34.171,36.976,741,16.562,15.502,17.68,107,2.392,1.983,2.882,697,15.579,14.546,16.671,4,0.089,0.035,0.23,208,4.649,4.07,5.306,336,7.51,6.774,8.319
Sarcoma,2014,Bone sarcoma,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,578,54316618,1.064,0.979,1.155,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,578,0,0,0,0.66,69,11.938,9.543,14.835,200,34.602,30.837,38.57,144,24.913,21.561,28.597,22,3.806,2.527,5.696,111,19.204,16.2,22.615,0,0,0,0.66,28,4.844,3.373,6.912,4,0.692,0.269,1.766
Sarcoma,2014,Soft tissue sarcoma,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,3896,54316618,7.173,6.949,7.402,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,3896,6,0.154,0.071,0.336,715,18.352,17.168,19.599,1391,35.703,34.214,37.221,597,15.323,14.227,16.489,85,2.182,1.768,2.69,586,15.041,13.953,16.198,4,0.103,0.04,0.264,180,4.62,4.004,5.325,332,8.522,7.685,9.44
Sarcoma,2015,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,4479,54786327,8.175,7.938,8.418,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,4479,6,0.134,0.061,0.292,877,19.58,18.444,20.768,1539,34.36,32.983,35.764,676,15.093,14.074,16.171,97,2.166,1.779,2.635,728,16.254,15.202,17.363,2,0.045,0.012,0.163,161,3.595,3.088,4.181,393,8.774,7.981,9.639
Sarcoma,2015,Bone sarcoma,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,557,54786327,1.017,0.934,1.105,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,557,0,0,0,0.685,72,12.926,10.392,15.968,188,33.752,29.948,37.779,147,26.391,22.902,30.204,22,3.95,2.623,5.908,106,19.031,15.987,22.498,0,0,0,0.685,21,3.77,2.479,5.695,1,0.18,0.032,1.01
Sarcoma,2015,Soft tissue sarcoma,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,3922,54786327,7.159,6.936,7.386,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,3922,6,0.153,0.07,0.333,805,20.525,19.29,21.818,1351,34.447,32.975,35.948,529,13.488,12.455,14.593,75,1.912,1.528,2.39,622,15.859,14.749,17.036,2,0.051,0.014,0.186,140,3.57,3.033,4.197,392,9.995,9.095,10.973
Sarcoma,2016,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All England,Persons,Not split by grade,Not split by nodal status,4532,55268067,8.2,7.963,8.442,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.d,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,4532,6,0.132,0.061,0.289,904,19.947,18.809,21.136,1435,31.664,30.325,33.033,708,15.622,14.594,16.708,89,1.964,1.599,2.41,741,16.35,15.302,17.456,4,0.088,0.034,0.227,156,3.442,2.95,4.014,489,10.79,9.92,11.727
